scenario_id,scenario_family,platform,n_collocation,n_target,rho_true,truth_systematic,fit_systematic,error_scale,error_structure,latent_distribution,transport_shift,purpose
P00,EPA_primary,A10,28,12,0.8197466423,u_add,u_add,1.0,full_epa,epa_empirical,none,Exact 70/30 EPA held-out-burn scale; finite-sample stress
P01,EPA_primary,A10,28,40,0.8197466423,u_add,u_add,1.0,full_epa,epa_empirical,none,EPA-sized calibration with modest deployment sample
P02,EPA_primary,A10,50,100,0.8197466423,u_add,u_add,1.0,full_epa,epa_empirical,none,Moderate sample scaling
P03,EPA_primary,A10,100,300,0.8197466423,u_add,u_add,1.0,full_epa,epa_empirical,none,Large sample asymptotics
P04,EPA_primary,A10,200,500,0.8197466423,u_add,u_add,1.0,full_epa,epa_empirical,none,Large-sample Wilks diagnostic
P05,EPA_replication,AIRPRO,28,40,0.8197466423,u_add,u_add,1.0,full_epa,epa_empirical,none,Second EPA sensor-platform mechanism
R01,rho_grid,A10,50,100,0.0,u_add,u_add,1.0,full_epa,normal,none,Null correlation
R02,rho_grid,A10,50,100,0.3,u_add,u_add,1.0,full_epa,normal,none,Weak positive correlation
R03,rho_grid,A10,50,100,0.5,u_add,u_add,1.0,full_epa,normal,none,Moderate correlation
R04,rho_grid,A10,50,100,-0.5,u_add,u_add,1.0,full_epa,normal,none,Negative correlation sign robustness
E01,error_strength,A10,50,100,0.8197466423,u_add,u_add,0.5,full_epa,normal,none,Half EPA residual-error magnitude
E02,error_strength,A10,50,100,0.8197466423,u_add,u_add,1.5,full_epa,normal,none,One-and-a-half EPA residual-error magnitude
E03,error_structure,A10,50,100,0.8197466423,u_add,u_add,1.0,diagonal,normal,none,Independent channel-error benchmark
E04,error_structure,A10,50,100,0.8197466423,u_add,u_add,1.0,no_cross_pollutant,normal,none,Correlated duplicates but no cross-pollutant error
D01,distribution,A10,50,100,0.8197466423,u_add,u_add,1.0,full_epa,t5,none,Heavy-tailed latent concentrations
D02,distribution,A10,50,100,0.8197466423,u_add,u_add,1.0,full_epa,skewed,none,Skewed latent concentrations
M01,misspecification,A10,50,100,0.8197466423,u_gain,u_add,1.0,full_epa,normal,none,RH-varying gain truth fitted by parsimonious primary model
M02,misspecification,A10,100,300,0.8197466423,u_gain,u_gain,1.0,full_epa,normal,none,Varying-gain extension when calibration sample is adequate
M03,misspecification,A10,50,100,0.8197466423,quadratic_add,u_add,1.0,full_epa,normal,none,Nonlinear additive RH-distortion stress test
T01,transport,A10,28,40,0.8197466423,u_add,u_add,1.0,full_epa,normal,moderate,Half of observed 2021-to-2019 A10 mechanism shift
T02,transport,A10,50,100,0.8197466423,u_add,u_add,1.0,full_epa,normal,strong,Full observed 2021-to-2019 A10 mechanism shift
